time,open,high,low,close,tick_volume,spread
1514854800,1.35066,1.3509,1.34906,1.35041,96,45
1514856600,1.3504,1.35179,1.35019,1.3511600000000001,213,49
1514858400,1.35129,1.35195,1.3504800000000001,1.35181,3511,9
1514860200,1.3518,1.35191,1.35095,1.35097,3013,3
1514862000,1.35098,1.35158,1.3507500000000001,1.35147,1742,1
1514863800,1.35147,1.35196,1.35103,1.35127,2074,1
1514865600,1.35125,1.35219,1.35113,1.35213,3151,1
1514867400,1.35213,1.35213,1.35122,1.35133,2763,1
1514869200,1.35133,1.3515,1.3508200000000001,1.35144,2315,1
1514871000,1.3514300000000001,1.35161,1.35117,1.35123,1754,1
1514872800,1.35123,1.3523,1.35121,1.35221,1934,1
1514874600,1.3522,1.35232,1.35163,1.35172,1807,1
1514876400,1.3517299999999999,1.35195,1.35131,1.35182,1521,1
1514878200,1.35182,1.35183,1.35123,1.3513600000000001,1131,1
1514880000,1.35137,1.35171,1.35133,1.35154,1228,1
1514881800,1.35154,1.3523399999999999,1.35153,1.35226,1614,1
1514883600,1.35225,1.35257,1.35186,1.35208,2324,1
1514885400,1.35209,1.35227,1.35176,1.35211,2611,1
1514887200,1.35211,1.35352,1.35203,1.35273,5028,1
1514889000,1.35274,1.35371,1.35228,1.35344,5033,1
1514890800,1.35341,1.35465,1.3532899999999999,1.35452,6525,1
1514892600,1.35453,1.35582,1.3544100000000001,1.35533,5932,1
1514894400,1.35534,1.3562400000000001,1.3550900000000001,1.35519,4134,1
1514896200,1.35499,1.35664,1.3542,1.3548499999999999,6956,1
1514898000,1.3548499999999999,1.35497,1.35398,1.3544800000000001,6123,50
1514899800,1.3544800000000001,1.35589,1.35447,1.35571,5527,1
1514901600,1.35569,1.35614,1.35399,1.3541400000000001,5010,1
1514903400,1.3541400000000001,1.3554599999999999,1.35396,1.35508,4475,1
1514905200,1.3550900000000001,1.3562699999999999,1.35498,1.35594,6011,50
1514907000,1.35595,1.35679,1.35592,1.35618,4016,2
1514908800,1.35619,1.35654,1.35533,1.3557299999999999,5102,1
1514910600,1.3557299999999999,1.35648,1.35562,1.3557299999999999,4088,1
1514912400,1.35572,1.35585,1.35497,1.35544,4920,1
1514914200,1.35544,1.35556,1.35449,1.3547500000000001,6452,1
1514916000,1.35476,1.35589,1.35423,1.35493,7023,1
1514917800,1.35495,1.35849,1.35462,1.35788,7197,50
1514919600,1.3578999999999999,1.35896,1.35738,1.35796,6520,2
1514921400,1.35796,1.35978,1.35764,1.35948,5665,50
1514923200,1.35947,1.3600400000000001,1.3591,1.3591,4179,1
1514925000,1.3590900000000001,1.35954,1.35815,1.3584100000000001,3707,1
1514926800,1.3584100000000001,1.35869,1.35815,1.35847,2825,1
1514928600,1.35847,1.3590200000000001,1.35847,1.35897,1996,1
1514930400,1.35899,1.35964,1.35899,1.35928,2188,1
1514932200,1.35928,1.3596300000000001,1.35919,1.35961,1761,1
1514934000,1.35961,1.3599,1.35942,1.35979,2536,1
1514935800,1.35978,1.36002,1.35968,1.35971,2146,1
1514937600,1.3596300000000001,1.35989,1.35931,1.35941,2000,1
1514939400,1.35937,1.35955,1.3587,1.35897,2004,1
1514941200,1.35868,1.35922,1.35854,1.35904,759,6
1514943000,1.35904,1.35916,1.35893,1.35898,427,5
1514944800,1.35898,1.3597299999999999,1.35897,1.35952,2486,1
1514946600,1.35952,1.3598,1.35938,1.35941,1495,1
1514948400,1.35944,1.35991,1.35933,1.35946,1656,1
1514950200,1.35944,1.35954,1.35889,1.35952,2251,1
1514952000,1.35953,1.36003,1.35942,1.35944,1951,1
1514953800,1.35942,1.36055,1.35883,1.3602699999999999,2920,1
1514955600,1.36026,1.36026,1.35903,1.35904,2368,1
1514957400,1.35904,1.35985,1.35886,1.35903,2417,1
1514959200,1.35903,1.35957,1.35892,1.35956,1151,1
1514961000,1.35956,1.35976,1.3593600000000001,1.35948,1090,1
1514962800,1.35948,1.35978,1.35946,1.35976,979,1
1514964600,1.35975,1.36038,1.35975,1.35987,1979,1
1514966400,1.35986,1.3603399999999999,1.35971,1.3603,1287,1
1514968200,1.36029,1.36075,1.36011,1.36057,1556,1
1514970000,1.36057,1.36105,1.36025,1.36091,2898,1
1514971800,1.36091,1.36127,1.3593899999999999,1.35952,4798,1
1514973600,1.35954,1.35998,1.35879,1.35931,5406,1
1514975400,1.3593199999999999,1.35954,1.3587799999999999,1.35944,3702,1
1514977200,1.3594300000000001,1.36016,1.35887,1.35947,6135,2
1514979000,1.35947,1.3599999999999999,1.35904,1.35934,3723,1
1514980800,1.35934,1.35972,1.3587799999999999,1.35919,3940,1
1514982600,1.3592,1.3592,1.35822,1.35856,5153,1
1514984400,1.35856,1.35927,1.35776,1.35786,4878,1
1514986200,1.35785,1.35819,1.35701,1.35755,6041,1
1514988000,1.35755,1.3578299999999999,1.35602,1.35689,6474,1
1514989800,1.3568799999999999,1.35689,1.35598,1.35626,3610,1
1514991600,1.35626,1.35672,1.35565,1.35663,3821,1
1514993400,1.35662,1.3569200000000001,1.3561,1.35636,3583,1
1514995200,1.35637,1.35672,1.35541,1.35575,4751,1
1514997000,1.35576,1.35641,1.35565,1.35617,3603,1
1514998800,1.35617,1.35622,1.3545099999999999,1.35469,4387,1
1515000600,1.35469,1.3549,1.35294,1.35332,6177,1
1515002400,1.35325,1.35325,1.34937,1.35001,8409,1
1515004200,1.35,1.3516,1.34988,1.35147,6072,1
