ts_utc,version,symbol,pattern,direction,decision,blocked_by,close,atr,adx_h1,ker,spread_points,spread_atr_frac,ema_fast_h1,ema_slow_h1,regime,session_hour_utc
2026-08-18T13:13:03.406799+00:00,v0.3.0-xaufakey,XAUUSD_SB,FAKEY,BUY,OPEN,,4394.33,2.5893868275803897,15.901288896274991,0.18083285795780282,19,0.0734,4400.012220631219,4395.13826281243,CHOP,13
2026-08-18T13:28:04.266849+00:00,v0.3.0-xaufakey,XAUUSD_SB,FAKEY,BUY,OPEN,,4390.21,2.591492190407817,15.901288896274991,0.004897159647423177,16,0.0617,4400.012220631219,4395.13826281243,CHOP,13
2026-08-18T13:42:00.384071+00:00,v0.3.0-xaufakey,XAUUSD_SB,FAKEY,BUY,OPEN,,4403.34,4.010700760413856,15.901288896274991,0.7094133697134184,16,0.0399,4400.012220631219,4395.13826281243,CHOP,13
2026-08-18T13:50:00.863697+00:00,v0.3.0-xaufakey,XAUUSD_SB,FAKEY,BUY,OPEN,,4395.08,3.9993317328481925,15.901288896274991,0.4353854686633872,18,0.045,4400.012220631219,4395.13826281243,CHOP,13
2026-08-18T14:11:02.604570+00:00,v0.3.0-xaufakey,XAUUSD_SB,FAKEY,BUY,OPEN,,4398.58,3.532288403989242,16.494638830916596,0.07481125600550222,16,0.0453,4399.509151999672,4395.122174611862,CHOP,14
2026-08-18T14:30:03.788949+00:00,v0.3.0-xaufakey,XAUUSD_SB,FAKEY,BUY,OPEN,,4394.26,3.1149772448818966,16.494638830916596,0.625623960066541,19,0.061,4399.509151999672,4395.122174611862,CHOP,14
2026-08-18T15:04:01.254629+00:00,v0.3.0-xaufakey,XAUUSD_SB,FAKEY,BUY,OPEN,,4372.93,4.576545954035018,17.852414163464744,0.1692307692307522,14,0.0306,4396.376851809227,4394.004493990782,CHOP,15
2026-08-18T15:28:03.318131+00:00,v0.3.0-xaufakey,XAUUSD_SB,FAKEY,BUY,OPEN,,4356.42,3.9523529697691973,17.852414163464744,0.4490566037735901,16,0.0405,4396.376851809227,4394.004493990782,CHOP,15
2026-08-18T15:37:03.927539+00:00,v0.3.0-xaufakey,XAUUSD_SB,FAKEY,SELL,OPEN,,4358.39,3.8793269478655894,17.852414163464744,0.15657311669127744,15,0.0387,4396.376851809227,4394.004493990782,CHOP,15
2026-08-18T16:06:00.695437+00:00,v0.3.0-xaufakey,XAUUSD_SB,FAKEY,BUY,OPEN,,4368.83,2.250198988952908,19.730298500889944,0.6825396825394118,18,0.08,4393.3714373512075,4392.860020503066,CHOP,16
2026-08-18T16:20:01.765534+00:00,v0.3.0-xaufakey,XAUUSD_SB,FAKEY,BUY,OPEN,,4367.26,2.041747644750355,19.730298500889944,0.3663911845730023,20,0.098,4393.3714373512075,4392.860020503066,CHOP,16
2026-08-18T16:47:03.290039+00:00,v0.3.0-xaufakey,XAUUSD_SB,FAKEY,BUY,OPEN,,4366.86,1.9721724707071542,19.730298500889944,0.2280155642022639,18,0.0913,4393.3714373512075,4392.860020503066,CHOP,16
2026-08-18T17:11:04.761094+00:00,v0.3.0-xaufakey,XAUUSD_SB,FAKEY,SELL,OPEN,,4365.82,1.474590855043844,21.474048255384446,0.22978723404268,16,0.1085,4390.563681412996,4391.723889614861,BEAR,17
2026-08-18T18:03:02.622870+00:00,v0.3.0-xaufakey,XAUUSD_SB,FAKEY,SELL,OPEN,,4355.7,1.5146266870920373,23.388448770928992,0.6458333333330175,19,0.1254,4387.443330802234,4390.393522358983,BEAR,18
