ts_close_utc,version,symbol,ticket,direction,lot,entry,close,sl_distance,risk_money,risk_reconstructed,profit_gross,commission,swap,net,r_multiple,reason,duration_min,ts_open_utc
2026-07-29T22:45:11+00:00,v0.3.0,US500_SB,81484707,SELL,11.3,7339.3,7343.1,3.830852891426828,43.29,False,-42.94,0.0,0.0,-42.94,-0.9919,SL,4.3,2026-07-29T22:40:53.123296+00:00
2026-07-30T15:42:52+00:00,v0.3.0,US500_SB,81646180,SELL,0.4,7377.9,7386.0,8.145526183882435,3.26,False,-3.24,0.0,0.0,-3.24,-0.9939,SL,4.0,2026-07-30T15:38:54.027328+00:00
2026-07-30T15:55:25+00:00,v0.3.0,US500_SB,81647199,SELL,0.1,7389.9,7397.1,7.199176065998863,0.72,False,-0.72,0.0,0.0,-0.72,-1.0,SL,10.4,2026-07-30T15:45:03.355290+00:00
2026-07-30T16:12:59+00:00,v0.3.0,US500_SB,81650230,BUY,0.3,7398.1,7410.4,6.156915507894228,1.85,False,3.69,0.0,0.0,3.69,1.9946,TP,10.9,2026-07-30T16:02:04.091699+00:00
2026-07-30T16:23:26+00:00,v0.3.0,US500_SB,81653050,BUY,0.3,7413.3,7408.6,4.722659575343099,1.42,False,-1.41,0.0,0.0,-1.41,-0.993,SL,2.4,2026-07-30T16:21:01.355086+00:00
2026-07-30T16:41:00+00:00,v0.3.0,US500_SB,81654396,BUY,0.1,7407.6,7403.4,4.245663368031798,0.42,False,-0.42,0.0,0.0,-0.42,-1.0,SL,8.9,2026-07-30T16:32:03.134085+00:00
2026-07-30T17:00:06+00:00,v0.3.0,US500_SB,81656581,BUY,0.1,7408.6,7416.900000000001,4.14799874727394,0.41,False,0.83,0.0,0.0,0.83,2.0244,TP,10.0,2026-07-30T16:50:04.491677+00:00
2026-07-30T17:38:04+00:00,v0.3.0,US500_SB,81658252,BUY,0.9,7421.1,7416.6,4.467215390226649,4.02,False,-4.05,0.0,0.0,-4.05,-1.0075,SL,37.0,2026-07-30T17:01:01.323555+00:00
2026-07-30T17:51:25+00:00,v0.3.0,US500_SB,81663787,SELL,1.1,7422.2,7425.7,3.545305399449524,3.9,False,-3.85,0.0,0.0,-3.85,-0.9872,SL,5.3,2026-07-30T17:46:04.329876+00:00
2026-07-30T18:59:43+00:00,v0.3.0,US500_SB,81666147,BUY,0.1,7424.6,7431.4,3.392123511294755,0.34,False,0.68,0.0,0.0,0.68,2.0,TP,50.7,2026-07-30T18:09:03.596705+00:00
2026-07-30T19:02:23+00:00,v0.3.0,US500_SB,81670446,BUY,2.7,7431.1,7436.1,2.5026778243975003,6.76,False,13.5,0.0,0.0,13.5,1.997,TP,2.3,2026-07-30T19:00:05.084883+00:00
2026-07-30T19:05:47+00:00,v0.3.0,US500_SB,81671082,SELL,1.1,7433.9,7436.6,2.6630721924416587,2.93,False,-2.97,0.0,0.0,-2.97,-1.0137,SL,1.7,2026-07-30T19:04:02.574123+00:00
2026-07-30T19:29:08+00:00,v0.3.0,US500_SB,81672795,BUY,3.4,7445.6,7442.1,3.167293685787447,10.77,False,-11.9,0.0,0.0,-11.9,-1.1049,SL,12.1,2026-07-30T19:17:00.550027+00:00
2026-07-30T19:51:16+00:00,v0.3.0,US500_SB,81674683,SELL,0.3,7441.2,7435.2,2.9926779521720643,0.9,False,1.8,0.0,0.0,1.8,2.0,TP,16.2,2026-07-30T19:35:01.509895+00:00
2026-07-30T19:53:59+00:00,v0.3.0,US500_SB,81676279,BUY,0.3,7438.6,7435.300000000001,3.3087003635387555,0.99,False,-0.99,0.0,0.0,-0.99,-1.0,SL,0.9,2026-07-30T19:53:02.352047+00:00
2026-07-30T19:54:40+00:00,v0.3.0,US500_SB,81676369,SELL,3.1,7435.4,7438.9,3.468793194785974,10.75,False,-10.85,0.0,0.0,-10.85,-1.0093,SL,0.6,2026-07-30T19:54:02.945550+00:00
2026-07-30T20:01:00+00:00,v0.3.0,US500_SB,81676604,BUY,0.7,7437.8,7445.6,3.9006153969830972,2.73,False,5.46,0.0,0.0,5.46,2.0,TP,3.9,2026-07-30T19:57:04.874129+00:00
