ts_utc,version,symbol,pattern,direction,decision,blocked_by,close,atr,ema200,body_atr,spread_points,spread_atr_frac,session_hour_utc
2026-08-19T13:00:06.718424+00:00,v0.4.0,NAS100_SB,MOMENTUM,BUY,OPEN,,29655.7,90.71491743680966,29651.466592490837,2.283,10,0.011,13
2026-08-19T14:00:01.208757+00:00,v0.4.0,NAS100_SB,MOMENTUM,SELL,OPEN,,29409.2,108.4352804770349,29649.083728278754,-2.276,10,0.0092,14
2026-08-20T09:00:00.386794+00:00,v0.4.0,NAS100_SB,MOMENTUM,SELL,OPEN,,29390.0,91.20195389025565,29614.921593078783,-1.287,10,0.011,9
2026-08-20T12:00:00.535593+00:00,v0.4.0,NAS100_SB,MOMENTUM,SELL,BLOCKED,position_already_open,29273.9,98.1612218283093,29607.280698760384,-2.084,10,0.0102,12
2026-08-21T14:00:02.149511+00:00,v0.4.0,NAS100_SB,MOMENTUM,SELL,BLOCKED,position_already_open,29218.1,88.55040600549447,29536.226758295456,-2.338,10,0.0113,14
2026-08-24T14:00:01.372674+00:00,v0.4.0,NAS100_SB,MOMENTUM,SELL,OPEN,,28945.2,102.49817123890809,29461.891699617252,-1.801,10,0.0098,14
2026-08-27T20:00:04.830427+00:00,v0.4.0,NAS100_SB,MOMENTUM,BUY,OPEN,,29634.1,100.04849914523402,29392.35066748933,1.271,10,0.01,20
2026-08-28T15:00:06.149838+00:00,v0.4.0,NAS100_SB,MOMENTUM,BUY,OPEN,,29735.0,86.01467161733055,29434.421204476796,1.953,10,0.0116,15
2026-08-31T00:00:00.498429+00:00,v0.4.0,NAS100_SB,MOMENTUM,SELL,OPEN,,29238.6,98.86126227818886,29429.516534500854,-1.546,10,0.0101,0
2026-09-01T06:00:06.285905+00:00,v0.4.0,NAS100_SB,MOMENTUM,BUY,OPEN,,29512.5,67.81389786519507,29420.544902011574,1.293,10,0.0147,6
2026-09-01T09:00:06.862342+00:00,v0.4.0,NAS100_SB,MOMENTUM,SELL,OPEN,,29187.3,81.1034379044597,29417.625127893574,-2.471,10,0.0123,9
2026-09-03T16:00:01.804013+00:00,v0.4.0,NAS100_SB,MOMENTUM,BUY,OPEN,,29495.5,97.71400947679801,29294.61584538802,1.795,10,0.0102,16
