ts_close_utc,version,symbol,ticket,direction,lot,entry,close,sl_distance,risk_money,risk_reconstructed,profit_gross,commission,swap,net,r_multiple,reason,duration_min,ts_open_utc
2026-07-30T16:03:04+00:00,v0.3.0,AUDUSD_SB,81646578,BUY,0.1,0.70197,0.70244,0.00023741818834650117,0.24,False,0.47,0.0,0.0,0.47,1.9583,TP,21.0,2026-07-30T15:42:01.291510+00:00
2026-07-30T16:18:06+00:00,v0.3.0,AUDUSD_SB,81651789,SELL,0.2,0.70253,0.7027799999999998,0.0002460450713510316,0.49,False,-0.5,0.0,0.0,-0.5,-1.0204,SL,7.0,2026-07-30T16:11:05.030784+00:00
2026-07-30T16:32:44+00:00,v0.3.0,AUDUSD_SB,81653712,SELL,9.5,0.70261,0.70282,0.00020720925428339916,19.68,False,-19.95,0.0,0.0,-19.95,-1.0137,SL,6.7,2026-07-30T16:26:04.332261+00:00
2026-07-30T16:38:00+00:00,v0.3.0,AUDUSD_SB,81654493,BUY,9.3,0.70281,0.70263,0.0001799544614084406,16.74,False,-16.74,0.0,0.0,-16.74,-1.0,SL,4.9,2026-07-30T16:33:03.652457+00:00
2026-07-30T17:00:10+00:00,v0.3.0,AUDUSD_SB,81655056,SELL,7.5,0.70263,0.7028,0.000171218943058704,12.84,False,-12.75,0.0,0.0,-12.75,-0.993,SL,22.1,2026-07-30T16:38:01.834702+00:00
2026-07-30T17:15:39+00:00,v0.3.0,AUDUSD_SB,81659392,BUY,0.2,0.70254,0.70239,0.0001508936731580882,0.3,False,-0.3,0.0,0.0,-0.3,-1.0,SL,2.6,2026-07-30T17:13:03.506410+00:00
2026-07-30T17:39:07+00:00,v0.3.0,AUDUSD_SB,81662104,SELL,0.3,0.70253,0.70272,0.0001853350846922239,0.56,False,-0.57,0.0,0.0,-0.57,-1.0179,SL,1.0,2026-07-30T17:38:04.040320+00:00
2026-07-30T17:44:34+00:00,v0.3.0,AUDUSD_SB,81663023,SELL,0.1,0.70272,0.70293,0.00020643482802904835,0.21,False,-0.21,0.0,0.0,-0.21,-1.0,SL,2.5,2026-07-30T17:42:01.652660+00:00
2026-07-30T17:49:59+00:00,v0.3.0,AUDUSD_SB,81663861,BUY,0.3,0.70294,0.70272,0.00022311224786273807,0.67,False,-0.66,0.0,0.0,-0.66,-0.9851,SL,2.9,2026-07-30T17:47:04.827210+00:00
2026-07-30T18:19:14+00:00,v0.3.0,AUDUSD_SB,81665740,BUY,0.3,0.70314,0.70295,0.00019476620153562526,0.58,False,-0.57,0.0,0.0,-0.57,-0.9828,SL,16.2,2026-07-30T18:03:04.755306+00:00
2026-07-30T18:33:40+00:00,v0.3.0,AUDUSD_SB,81666880,SELL,0.8,0.7029,0.70306,0.00016449931848362809,1.32,False,-1.28,0.0,0.0,-1.28,-0.9697,SL,13.7,2026-07-30T18:20:00.340164+00:00
2026-07-30T19:14:53+00:00,v0.3.0,AUDUSD_SB,81672284,BUY,0.2,0.70299,0.70283,0.0001603013018449127,0.32,False,-0.32,0.0,0.0,-0.32,-1.0,SL,1.8,2026-07-30T19:13:03.057908+00:00
2026-07-30T19:16:41+00:00,v0.3.0,AUDUSD_SB,81672506,SELL,0.2,0.70285,0.70301,0.00016416285722852084,0.33,False,-0.32,0.0,0.0,-0.32,-0.9697,SL,1.6,2026-07-30T19:15:04.257965+00:00
2026-07-30T19:27:56+00:00,v0.3.0,AUDUSD_SB,81673485,BUY,2.6,0.70327,0.70312,0.0001540063240158634,4.0,False,-3.9,0.0,0.0,-3.9,-0.975,SL,4.9,2026-07-30T19:23:04.114136+00:00
