ts_close_utc,version,symbol,ticket,direction,lot,entry,close,sl_distance,risk_money,risk_reconstructed,profit_gross,commission,swap,net,r_multiple,reason,duration_min,ts_open_utc
2026-08-19T13:48:56+00:00,v0.4.0,US500_SB,85015752,BUY,1.7,7729.3,7711.9,17.534581671324,29.81,False,-29.58,0.0,0.0,-29.58,-0.9923,SL,48.8,2026-08-19T13:00:06.754757+00:00
2026-08-19T15:41:07+00:00,v0.4.0,US500_SB,85051209,BUY,1.3,7744.1,7722.2,21.85456276762146,28.41,False,-28.47,0.0,0.0,-28.47,-1.0021,SL,41.0,2026-08-19T15:00:06.620955+00:00
2026-08-26T22:00:00+00:00,v0.4.0,US500_SB,85229326,SELL,1.5,7686.3,7705.899999999999,19.595714775184124,29.39,False,-29.4,0.0,2.54,-26.86,-0.9139,SL,9240.0,2026-08-20T12:00:00.571644+00:00
