ts_utc,version,symbol,pattern,direction,decision,blocked_by,close,atr,ema200,body_atr,spread_points,spread_atr_frac,session_hour_utc
2026-08-19T13:00:06.754757+00:00,v0.4.0,US500_SB,MOMENTUM,BUY,OPEN,,7730.2,11.689721114215999,7725.586538715477,2.609,4,0.0342,13
2026-08-19T15:00:06.620955+00:00,v0.4.0,US500_SB,MOMENTUM,BUY,OPEN,,7743.7,14.56970851174764,7725.567017821479,1.517,4,0.0275,15
2026-08-20T12:00:00.571644+00:00,v0.4.0,US500_SB,MOMENTUM,SELL,OPEN,,7686.3,13.06380985012275,7722.444080723039,-2.006,4,0.0306,12
2026-08-21T14:00:02.180800+00:00,v0.4.0,US500_SB,MOMENTUM,SELL,BLOCKED,position_already_open,7663.4,12.080458333465943,7710.26961888935,-1.664,4,0.0331,14
2026-08-27T15:00:09.738620+00:00,v0.4.0,US500_SB,MOMENTUM,BUY,OPEN,,7722.8,14.113331595490633,7695.51911549833,1.431,4,0.0283,15
2026-08-28T15:00:06.224155+00:00,v0.4.0,US500_SB,MOMENTUM,BUY,BLOCKED,position_already_open,7767.2,13.37203059723979,7704.8326709987605,2.52,4,0.0299,15
2026-08-31T00:00:00.629951+00:00,v0.4.0,US500_SB,MOMENTUM,SELL,OPEN,,7679.1,15.862310669232443,7704.361334637521,-1.28,4,0.0252,0
2026-09-01T09:00:06.950810+00:00,v0.4.0,US500_SB,MOMENTUM,SELL,OPEN,,7649.3,13.316938375186858,7699.20040826698,-2.403,4,0.03,9
2026-09-01T17:00:02.097188+00:00,v0.4.0,US500_SB,MOMENTUM,SELL,BLOCKED,position_already_open,7640.4,15.39892935681353,7695.3082198398115,-1.305,4,0.026,17
2026-09-03T13:00:02.510645+00:00,v0.4.0,US500_SB,MOMENTUM,BUY,OPEN,,7693.1,13.385432651975288,7681.402497985478,2.054,4,0.0299,13
2026-09-03T14:00:05.985725+00:00,v0.4.0,US500_SB,MOMENTUM,BUY,BLOCKED,position_already_open,7713.4,14.743616033977911,7681.611736405971,1.37,12,0.0814,14
2026-09-03T16:00:01.880423+00:00,v0.4.0,US500_SB,MOMENTUM,BUY,BLOCKED,position_already_open,7751.1,17.09577096807242,7682.59279852403,2.404,4,0.0234,16
